"celltype","injury","time","contrast","n_genes","r","rho","neuronal"
"PEP1","ScNT",6,"SNI",11709,0.0439566431246319,0.0265837057868461,TRUE
"PEP1","ScNT",12,"MINP",11709,-0.00592037386327372,0.0293491037835171,TRUE
"PEP1","ScNT",12,"SNI",11709,0.14804143342056,0.112859646243838,TRUE
"PEP1","ScNT",24,"MINP",11709,-0.00203426233014831,0.0451510659131853,TRUE
"PEP1","ScNT",24,"SNI",11709,0.177858227672882,0.106310469475557,TRUE
"PEP1","ScNT",72,"MINP",11709,-0.0272010823680273,0.0184943207213981,TRUE
"PEP1","ScNT",72,"SNI",11709,0.322176167470217,0.207645551479361,TRUE
"PEP1","ScNT",168,"MINP",11709,-0.0544781849262823,-0.0347962827938343,TRUE
"PEP1","ScNT",168,"SNI",11709,0.155853379624382,0.0805196964556652,TRUE
"PEP1","ScNT",672,"MINP",11709,-0.00736122533668898,0.0128683210014284,TRUE
"PEP1","ScNT",672,"SNI",11709,0.142619207750573,0.0898963599792567,TRUE
"PEP1","ScNT",1440,"MINP",11709,-0.00490709414429278,0.0296766796749333,TRUE
"PEP1","ScNT",1440,"SNI",11709,0.0659790725328956,-0.0129415198550618,TRUE
"PEP1","SpNT",6,"MINP",11709,-0.0297589296357306,-0.0657450111792644,TRUE
"PEP1","SpNT",6,"SNI",11709,0.140110903755623,0.146235858961118,TRUE
"PEP1","SpNT",12,"MINP",11709,-0.0239955978578388,-0.0298097762802857,TRUE
"PEP1","SpNT",12,"SNI",11709,0.223484331983546,0.206782066454097,TRUE
"PEP1","SpNT",24,"MINP",11709,-0.012385254875718,0.0149246997377287,TRUE
"PEP1","SpNT",24,"SNI",11709,0.375545329623797,0.326746941622329,TRUE
"PEP1","SpNT",36,"MINP",11709,-0.012907255171509,-0.0147276215044297,TRUE
"PEP1","SpNT",36,"SNI",11709,0.330166726112574,0.300930630481473,TRUE
"PEP1","SpNT",48,"MINP",11709,-0.0452227379202231,-0.0552184062469894,TRUE
"PEP1","SpNT",48,"SNI",11709,0.392530807275136,0.336931388975417,TRUE
"PEP1","SpNT",72,"MINP",11709,-0.0297958435501695,-0.0337444010640545,TRUE
