stage,n_cells,n_genes,median_umi,median_genes,median_pct_mt,max_pct_mt
raw,141093,25105,1212.0,846.0,0.39572617411613464,9.943503379821777
filtered,141093,24806,1212.0,846.0,0.39572617411613464,9.943503379821777
