"celltype","inj","time","n","pct"
"Schwann_M","Crush",672,802,5.11221945137157
"Schwann_N","Crush",672,1020,12.156862745098
"SST","Crush",672,332,20.1807228915663
"B cell","Crush",1440,34,0
"cLTMR1","Crush",1440,311,0.321543408360129
"Endothelial","Crush",1440,217,1.38248847926267
"Fibroblast","Crush",1440,902,1.10864745011086
"Macrophage","Crush",1440,149,1.34228187919463
"Neutrophil","Crush",1440,34,0
"NF1","Crush",1440,1370,1.16788321167883
"NF2","Crush",1440,1328,3.84036144578313
"NF3","Crush",1440,292,0.342465753424658
"NP","Crush",1440,1165,1.20171673819742
"p_cLTMR2","Crush",1440,173,1.73410404624277
"PEP1","Crush",1440,798,3.38345864661654
"PEP2","Crush",1440,383,3.65535248041775
"Pericyte","Crush",1440,105,0.952380952380952
"Repair schwann_N","Crush",1440,31,12.9032258064516
"Satglia","Crush",1440,839,1.66865315852205
"Schwann_M","Crush",1440,944,1.16525423728814
"Schwann_N","Crush",1440,372,4.3010752688172
"SST","Crush",1440,335,7.46268656716418
"cLTMR1","Crush",2160,108,0
"Endothelial","Crush",2160,92,0
"Fibroblast","Crush",2160,257,1.55642023346304
"Macrophage","Crush",2160,53,0
"NF1","Crush",2160,825,1.45454545454545
"NF2","Crush",2160,838,3.46062052505967
"NF3","Crush",2160,212,0.471698113207547
"NP","Crush",2160,450,1.11111111111111
"p_cLTMR2","Crush",2160,48,0
"PEP1","Crush",2160,400,5
"PEP2","Crush",2160,168,1.19047619047619
"Pericyte","Crush",2160,48,0
"Satglia","Crush",2160,265,0.754716981132076
"Schwann_M","Crush",2160,311,1.28617363344051
"Schwann_N","Crush",2160,178,1.12359550561798
"SST","Crush",2160,139,9.35251798561151
"B cell","ScNT",0,58,0
"cLTMR1","ScNT",0,926,0.647948164146868
"Endothelial","ScNT",0,528,0.378787878787879
"Fibroblast","ScNT",0,1384,1.22832369942197
"Macrophage","ScNT",0,159,0
"Neutrophil","ScNT",0,52,0
"NF1","ScNT",0,1509,0.331345261762757
"NF2","ScNT",0,1548,0.839793281653747
