stage,n_cells,n_genes,median_umi,median_genes,median_pct_mt,max_pct_mt
raw,17665,24597,2163.0,1359.0,0.44247788190841675,8.9800443649292
filtered,17665,23914,2163.0,1359.0,0.44247788190841675,8.9800443649292
